year,team,player_name,derived_short_name,fifa_index
2022,Ecuador,Hernán Galíndez,H. Galindez,
2022,Ecuador,Félix Torres,F. Torres,3806.0
2022,Ecuador,Piero Hincapié,P. Hincapie,5428.0
2022,Ecuador,Robert Arboleda,R. Arboleda,
2022,Ecuador,José Cifuentes,J. Cifuentes,4569.0
2022,Ecuador,Willian Pacho,W. Pacho,14896.0
2022,Ecuador,Pervis Estupiñán,P. Estupinan,648.0
2022,Ecuador,Carlos Gruezo,C. Gruezo,3457.0
2022,Ecuador,Ayrton Preciado,A. Preciado,5252.0
2022,Ecuador,Romario Ibarra,R. Ibarra,2087.0
2022,Ecuador,Michael Estrada,M. Estrada,5245.0
2022,Ecuador,Moisés Ramírez,M. Ramirez,7448.0
2022,Ecuador,Enner Valencia ,E. Valencia,1733.0
2022,Ecuador,Xavier Arreaga,X. Arreaga,8393.0
2022,Ecuador,Ángel Mena,A. Mena,785.0
2022,Ecuador,Jeremy Sarmiento,J. Sarmiento,16453.0
2022,Ecuador,Ángelo Preciado,A. Preciado,5252.0
2022,Ecuador,Diego Palacios,D. Palacios,5316.0
2022,Ecuador,Gonzalo Plata,G. Plata,2402.0
2022,Ecuador,Sebas Méndez,S. Mendez,
2022,Ecuador,Alan Franco,A. Franco,2345.0
2022,Ecuador,Alexander Domínguez,A. Dominguez,13742.0
2022,Ecuador,Moisés Caicedo,M. Caicedo,9020.0
2022,Ecuador,Djorkaeff Reasco,D. Reasco,13033.0
2022,Ecuador,Jackson Porozo,J. Porozo,8630.0
2022,Ecuador,Kevin Rodríguez,K. Rodriguez,
2022,Netherlands,Remko Pasveer,R. Pasveer,1480.0
2022,Netherlands,Jurriën Timber,J. Timber,1950.0
2022,Netherlands,Matthijs de Ligt,M. de Ligt,96.0
2022,Netherlands,Virgil van Dijk ,V. van Dijk,15.0
2022,Netherlands,Nathan Aké,N. Ake,745.0
2022,Netherlands,Stefan de Vrij,S. de Vrij,84.0
2022,Netherlands,Steven Bergwijn,S. Bergwijn,473.0
2022,Netherlands,Cody Gakpo,C. Gakpo,655.0
2022,Netherlands,Luuk de Jong,L. de Jong,529.0
2022,Netherlands,Memphis Depay,M. Depay,86.0
2022,Netherlands,Steven Berghuis,S. Berghuis,314.0
2022,Netherlands,Noa Lang,N. Lang,837.0
2022,Netherlands,Justin Bijlow,J. Bijlow,1062.0
2022,Netherlands,Davy Klaassen,D. Klaassen,564.0
2022,Netherlands,Marten de Roon,M. de Roon,237.0
2022,Netherlands,Tyrell Malacia,T. Malacia,1093.0
2022,Netherlands,Daley Blind,D. Blind,214.0
2022,Netherlands,Vincent Janssen,V. Janssen,1796.0
2022,Netherlands,Wout Weghorst,W. Weghorst,183.0
2022,Netherlands,Teun Koopmeiners,T. Koopmeiners,652.0
2022,Netherlands,Frenkie de Jong,F. de Jong,43.0
2022,Netherlands,Denzel Dumfries,D. Dumfries,270.0
2022,Netherlands,Andries Noppert,A. Noppert,12467.0
2022,Netherlands,Kenneth Taylor,K. Taylor,7381.0
2022,Netherlands,Xavi Simons,X. Simons,9514.0
2022,Netherlands,Jeremie Frimpong,J. Frimpong,3074.0
2022,Qatar,Saad Al-Sheeb,S. Al Sheeb,
2022,Qatar,Pedro Miguel,P. Miguel,
2022,Qatar,Abdelkarim Hassan,A. Hassan,2658.0
2022,Qatar,Mohammed Waad,M. Waad,
2022,Qatar,Tarek Salman,T. Salman,
2022,Qatar,Abdulaziz Hatem,A. Hatem,
2022,Qatar,Ahmed Alaaeldin,A. Alaaeldin,
2022,Qatar,Ali Assadalla,A. Assadalla,
2022,Qatar,Mohammed Muntari,M. Muntari,
2022,Qatar,Hassan Al-Haydos ,H. Al Haydos,
2022,Qatar,Akram Afif,A. Afif,
2022,Qatar,Karim Boudiaf,K. Boudiaf,
2022,Qatar,Musab Kheder,M. Kheder,
2022,Qatar,Homam Ahmed,H. Ahmed,
2022,Qatar,Bassam Al-Rawi,B. Al Rawi,
2022,Qatar,Boualem Khoukhi,B. Khoukhi,
2022,Qatar,Ismaeel Mohammad,I. Mohammad,
2022,Qatar,Khalid Muneer,K. Muneer,
2022,Qatar,Almoez Ali,A. Ali,
2022,Qatar,Salem Al-Hajri,S. Al Hajri,
