,team,predicted_success_score,predicted_success_score_normalized
0,Portugal,0.5592010830180152,1.0
1,France,0.5583451353798042,0.9989456612704556
2,England,0.5544536342050194,0.9941521900095046
3,Spain,0.5022832810116421,0.9298898199178537
4,Germany,0.484150288411744,0.9075539718739547
5,Brazil,0.48249060958910284,0.9055096135707147
6,Argentina,0.4764202187991995,0.8980322308108978
7,Netherlands,0.46383713733310394,0.882532649371026
8,Uruguay,0.43146084504395077,0.8426521971615297
9,Serbia,0.41063302209053865,0.816996912408628
10,Croatia,0.37584483219688625,0.7741455342422192
11,Belgium,0.37338440860178945,0.7711148349662479
12,Morocco,0.3275080482439891,0.7146052760440905
13,Wales,0.2912702808966908,0.6699683381277332
14,Denmark,0.28581684519275063,0.6632509079777277
15,Poland,0.28227713060370296,0.658890760211485
16,Mexico,0.27177526235809785,0.6459547744927128
17,Ecuador,0.2368956400398148,0.602990771742602
18,Cameroon,0.22258173775031184,0.5853592007433752
19,Iran,0.21315862672500716,0.5737520060234491
20,Ghana,0.20229336189104627,0.5603683958470774
21,Senegal,0.18486751330769843,0.5389035932862558
22,United States,0.183150556054841,0.5367886805885078
23,Australia,0.17135804702382604,0.5222629100450105
24,Switzerland,0.16765891132458272,0.517706390627883
25,Tunisia,0.1384161335607145,0.481685737284709
26,Japan,0.129093425688504,0.47020221710765203
27,Canada,0.10183526173819676,0.43662617031914946
28,South Korea,0.09317722192637709,0.4259613746143346
29,Qatar,0.055861653952596096,0.37999682401175827
30,Saudi Arabia,-0.0017699936689359597,0.30900734355494114
31,Costa Rica,-0.25263254712933236,0.0
